[2020-08-06 22:50:22] - [40] - [ERROR] - [Error, World]
[2020-08-06 22:50:40] - [25] - [SUCCESS] - [Hello, World]
[2020-08-06 22:50:42] - [25] - [SUCCESS] - [Hello, World]
[2020-08-06 22:50:42] - [25] - [SUCCESS] - [Hello, World]
[2020-08-06 22:50:43] - [25] - [SUCCESS] - [Hello, World]
[2020-08-06 22:51:55] - [40] - [ERROR] - [Exception, World]
[2020-08-06 22:51:58] - [40] - [ERROR] - [Exception, World]
[2020-08-06 22:52:01] - [25] - [SUCCESS] - [Success, World]
[2020-08-06 22:52:03] - [25] - [SUCCESS] - [Success, World]
[2020-08-06 22:52:03] - [25] - [SUCCESS] - [Success, World]
[2020-08-06 23:10:41] - [25] - [SUCCESS] - [Hello, World]
[2020-08-06 23:10:43] - [25] - [SUCCESS] - [Hello, World]
[2020-08-06 23:10:44] - [25] - [SUCCESS] - [Hello, World]
[2020-08-06 23:10:47] - [40] - [ERROR] - [Error, World]
[2020-08-06 23:11:28] - [25] - [SUCCESS] - [Success, World]
[2020-08-06 23:12:49] - [25] - [SUCCESS] - [Success, World]
[2020-08-06 23:12:50] - [25] - [SUCCESS] - [Success, World]
[2020-08-06 23:13:09] - [40] - [ERROR] - [Exception, World]
[2020-08-07 09:02:58] - [40] - [ERROR] - [Error, World]
[2020-08-07 09:03:57] - [40] - [ERROR] - [Exception, World]
[2020-08-07 09:04:06] - [40] - [ERROR] - [Error, World]
[2020-08-07 09:04:12] - [25] - [SUCCESS] - [Success, World]
[2020-08-07 09:04:15] - [25] - [SUCCESS] - [Hello, World]
[2020-08-07 09:04:29] - [25] - [SUCCESS] - [Success, World]
[2020-08-07 09:04:33] - [40] - [ERROR] - [Error, World]
[2020-08-07 09:07:50] - [25] - [SUCCESS] - [Hello, World]
[2020-08-07 09:07:52] - [40] - [ERROR] - [Error, World]
[2020-08-07 09:07:56] - [25] - [SUCCESS] - [Success, World]
[2020-08-07 09:08:01] - [40] - [ERROR] - [Exception, World]
NoneType: None
[2020-08-07 09:08:29] - [40] - [ERROR] - [Error, World]
[2020-08-07 09:13:56] - [40] - [ERROR] - [Exception, World]
NoneType: None
[2020-08-07 09:14:03] - [25] - [SUCCESS] - [Success, World]
